하위 페이지 번호,자격요건,우대사항
0,"['• Computer Vision 계열의 ML 모델 학습 및 추론, 배포 경험이 있으신 분• ML/DL에 분야에 대한 기본 지식이 있으신 분• PyTorch, TensorFlow, Scikit-Learn, 등의 ML 프레임워크 사용 경험이 있으신 분• 내부 구성원들과 원활한 협업을 위한 커뮤니케이션 역량을 보유하신 분• Git / JIRA / Slack / Notion 등 각 종 협업 툴 사용 경험이 있으신 분']",['• AI모델을 실제 서비스 및 Application에 통합해 본 경험이 있으신 분• 의료 AI S/W 상용화 경험 보유하신 분• 의료 데이터(2D∙3D CT/X-ray/Point Cloud) 처리 경험이 있으신 분• GAN등의 생성 모델을 개발 경험이 있으신 분• 관련 분야의 석사 이상의 학위 혹은 관련 분야 3년 이상의 경력이 있으신 분[기타 사항]근무지는 성남시 분당과 신촌 연세대학교 내에 2곳에 위치하고 있어요. - 경기도 성남시 분당구 판교로 723 B동 404호 - 서울 서대문구 연세로 50-1 연세대학교 광혜관 B2 라온메디고용 형태 : 정규직 (On-Boarding을 위한 3개월 수습 계약 후 정규직 채용. 수습기간 급여는 100% 지급)']
1,"['• 논리적인 사고• 뛰어난 프로그래밍 스킬• Python, PyTorch/TensorFlow• 컴퓨터 비전 딥러닝 모델 개발 경험(classification, object detection & segmentation, pose estimation)• 최신(state-of-the-art) 딥러닝 연구 topics and methods 익숙/관심']",['• 관련 경험 2년 이상• 관련 전공 석사 이상• 뛰어난 커뮤니케이션']
2,"['• 컴퓨터 비전 기반 딥러닝 태스크를 적어도 두 가지 이상 수행해 본 경험이 있으신 분• 관련 선행 연구 논문을 조사하고 분석하는 역량이 있는 분• PyTorch, TensorFlow 사용이 가능하신 분• 다양한 엣지 디바이스에 딥러닝 모델을 컴파일하여 배포해본 경험이 있으신 분• 해외 여행에 결격사유가 없는 분']",['• 딥러닝 모델 경량화 기법 및 효율적 모델링 관련 전문적인 지식을 갖추시거나 관련 논문을 출판하신 분']
3,"['• 전문연구요원 신규/편입이 가능하신 분• 머신러닝 관련 개발/연구 경험을 보유하신 분• 팀 리딩이 가능하신 분• 아래 내용에 대한 지식, 논문 작성 경험 및 논문 구현 능력이 있는 분    - 컴퓨터비전    - 자연어처리    - 딥러닝 / 머신러닝• 본인이 구현한 코드, 업무의 진행 상황 및 결과 등을 정확하고 체계적으로 문서화할 수 있는 능력이 있는 분• 이공계(전공 무관) 석사 이상이신 분다양한 분야의 연구 경험 보유자로, 각 연구에 대한 본인의 Contribution, 연구 내용, 문제점 도출, 해결에 따른 결과물 등을 잘 표현해 주시면 더욱 좋습니다. 이 과정에서 어려움과 문제 해결을 하는 방식 및 지적 호기심을 보여주시면 더욱 좋으며, 팀 리딩이 가능하시면 가장 좋습니다.']","['• 아래 연구 분야에 대한 지식 및 경험이 있는 분    - Object Detection / Recognition / Segmentation    - Multi modality (Image, Text 등)    - Sequence labeling    - Text segmentation    - Multi modality(Image, Text 등) 기반 머신러닝 알고리즘• 아래 내용에 대한 경험이 있으신 분    - SW 개발 리딩 경험    - SaaS 서비스 또는 자체 프로덕트 개발 사이클 전반의 경험• AI / 머신러닝 관련 대회 참가 경험이 있는 분• AI / 머신러닝 관련 국제학술대회에 논문을 게재한 경험이 있는 분• 관련 분야 박사학위 이상을 소지하신 분']"
4,"['- 컴퓨터공학, 산업공학, 통계학과 등 데이터 사이언스/엔지니어링 관련 전공자- Python, Keras, Pytorch, Linux, AWS, Git, SQL 환경의 개발 경험 및 이해도- 기계학습, 딥러닝, 확률 및 통계 개념 및 분석/구현 능력- 논문(영문)을 이해하고 구현하는데 어려움이 없는 분- 문서 작성 능력 능통자']","['- 분석 및 모델링울 위한 데이터 수집, 자동화 소스버전 관리 경험- 리눅스 개발 환경 경험 - 데이콘, Kaggle등의 데이터 경진대회 수상 경력- 신재생에너지 산업에 대한 이해 및 관심이 있는 분']"
5,"['- SAR 관련 개발 경험자- AI/ML 에 대한 관심- Matlab, Python 을 이용한 신호 분석/처리, 영상 재구성 경험']",['- 신호처리 및 수학에 대한 높은 이해- 연구개발 분야 협업 경험- 능숙한 UNIX 시스템 사용 능력/경험- 탁월한 문제 정의/해결 능력']
6,['• 학력 대졸 이상(전문 연구 요원의 경우 석박사 이상 지원 가능)• Python 사용 가능• Tensorflow 또는 Pytorch 사용 가능'],"['• AI 솔루션 또는 서비스 출시 경험이 있으신 분• 석사, 박사 학위 수여자 및 관련 학과 전공자• 시계열 데이터 처리 경험']"
7,['ㆍ학력 : 학사 이상'],['ㆍ음성인식 및 자연어처리(NLP) 포함 유관분야 석사 이상ㆍ음성인식 및 자연어처리(NLP) 포함 유관분야 경력 2년 이상ㆍ인공지능관련 우수 학회 또는 SCI급 저널 저자']
8,"['• 금융에 대한 이해도가 있으신분• Rest API / Socket 를 이용한 데이터 수집 및 전처리 경험이 있으신 분• RDB 구조 설계와 정규화에 대한 심도 있는 고민을 해보신 분• Github를 이용한 코드 버전관리와 이슈 티켓관리를 철저하게 잘 지키시는 분• 3년 이상의 백엔드 개발 경험 혹은 이에 준하는 능력을 가지고 있으신 분• 새로운 것을 배우는 것에 있어, 두려움이 없으신 분• 논리적이고 체계적인 문제해결 능력이 있으신 분• 구성원들과의 소통에 어려움이 없으신 분']","['• 트레이딩 모니터링 어드민 페이지 개발 경험이 있으신 분• 레디스, 도커, mysql 을 능숙하게 다루시는 분• AI / 머신러닝 학습 프레임워크를 이용하여 모델 개발 경험이 있으신 분']"
9,['- 개발 경력 3년 이상- Python 개발 2년 이상- 학력 : 대학 졸업 이상'],['- 부동산 투자 및 재테크에 대한 관심- 국내외 프롭테크 산업 이해도']
10,"['• 4년 이상 관련 업무 경력을 가지신 분 또는 그에 준하는 실력을 가지신 분• ML을 사랑하시는 분• SQL, Python을 능숙하게 쓰실 수 있는 분• PyTorch, Spark, Ray, FastAPI 등의 환경에서 작업하실 수 있는 분• 기초 통계,  Classical한 머신러닝, 딥러닝 이론들에 대해 기본적으로 잘 아시는 분• 머신러닝 제품을 직접 프로덕션화 해본 경험이 있으신 분']",['• 프로젝트를 직접 리딩할 수 있는 경력이 있으신 분• AWS 클라우드 인프라에 익숙하신 분• 쿠버네티스 환경에 익숙하신 분• MLOps 에 대한 경험이 있으신 분']
